Fatal Shark Attack Incidents in U.S.A. (as of 2023),,,,
State,Code,Area length (in sq. mi.),Area elevation (in ft.),Attacks occurred
California,CA,"163,696","2,900",2
Florida,FL,"65,758",100,16
Hawaii,HI,"10,931","3,030",8
North Carolina,NC,"53,865",700,3
New Jersey,NJ,"8,723",250,1
New York,NY,"54,555","1,000",4
South Carolina,SC,"32,020",350,2
Total,,,,36
